City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
165,Kongolo,CD,72.16,overcast clouds,-5.3833,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
180,Yei,SS,74.1,broken clouds,4.095,30.6779,City Link Hotel
181,Dunedin,NZ,59.0,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
183,Giyon,ET,62.4,broken clouds,8.5333,37.9833,Negash Lodge
184,Puerto Madryn,AR,69.73,clear sky,-42.7692,-65.0385,Hotel Tolosa
187,Kruisfontein,ZA,71.01,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
189,Bredasdorp,ZA,64.4,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
190,Hokitika,NZ,55.27,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
191,La Palma,US,50.0,moderate rain,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
192,Jinka,ET,72.14,broken clouds,5.65,36.65,
201,Kiama,AU,73.0,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
202,Trat,TH,72.43,broken clouds,12.5,102.5,สวนหนิง-อัศ
207,Vila Franca Do Campo,PT,63.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
211,Muros,ES,55.99,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
213,Airai,TL,61.86,light rain,-8.9266,125.4092,Juvinal Martin
214,Havelock,US,51.01,clear sky,34.8791,-76.9013,Sherwood Motel
216,Ponta Do Sol,PT,61.0,overcast clouds,32.6667,-17.1,Hotel do Campo
221,Kapaa,US,71.6,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
226,Flinders,AU,73.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
227,Geraldton,AU,71.6,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
228,Hirara,JP,66.74,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
231,Port Macquarie,AU,62.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
233,Caborca,MX,64.99,clear sky,30.5838,-111.101,Hotel Los Lagos
236,Bandarbeyla,SO,74.68,overcast clouds,9.4942,50.8122,JABIR HOTEL
237,Dodoma,TZ,66.69,overcast clouds,-6.1722,35.7395,Royal Village Hotel
241,Castro,BR,72.03,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
242,Copiapo,CL,73.4,few clouds,-27.3667,-70.3333,Antay Casino Hotel
244,Ambilobe,MG,74.57,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
251,Umm Kaddadah,SD,68.68,broken clouds,13.6017,26.6876,
255,Tocopilla,CL,74.91,few clouds,-22.092,-70.1979,Hotel Galvarino
256,Mahuva,IN,68.31,clear sky,21.0914,71.7622,Hotel Blue Diamond.
263,Mon,IN,54.61,scattered clouds,26.75,95.1,NCK Cottage
