City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Khasan,RU,2021-01-20 21:08:31,42.4308,130.6434,23.2,92,9,6.42
140,Kodiak,US,2021-01-20 21:08:32,57.79,-152.4072,42.8,75,40,9.22
141,Burns Lake,CA,2021-01-20 21:08:32,54.2331,-125.7533,14.0,85,63,2.3
142,Georgetown,MY,2021-01-20 21:08:32,5.4112,100.3354,77.0,88,20,2.3
143,Talnakh,RU,2021-01-20 21:08:32,69.4865,88.3972,-36.44,81,90,1.41
144,Nikolskoye,RU,2021-01-20 21:08:32,59.7035,30.7861,16.0,92,90,4.47
145,Omalur,IN,2021-01-20 21:08:32,11.741,78.0456,72.55,82,0,2.48
146,Paamiut,GL,2021-01-20 21:08:32,61.994,-49.6678,28.74,88,99,6.11
147,Marovoay,MG,2021-01-20 21:08:33,-16.1,46.6333,77.0,94,40,17.27
148,Berlevag,NO,2021-01-20 21:08:33,70.8578,29.0864,21.2,79,75,16.11
149,Kimbe,PG,2021-01-20 21:08:33,-5.5502,150.1429,77.47,87,100,2.17
150,Sitka,US,2021-01-20 21:08:33,57.0531,-135.33,37.4,87,75,0.65
151,Aviemore,GB,2021-01-20 21:08:33,57.1955,-3.8259,34.0,93,75,3.44
152,Payo,ID,2021-01-20 21:08:33,-3.7508,103.6372,73.04,95,100,1.92
153,New Norfolk,AU,2021-01-20 21:08:33,-42.7826,147.0587,51.01,67,100,1.36
154,Zyryanka,RU,2021-01-20 21:08:33,65.75,150.85,-45.13,79,49,1.83
155,Nisia Floresta,BR,2021-01-20 21:08:34,-6.0911,-35.2086,82.4,74,40,14.97
156,Bheramara,BD,2021-01-20 21:08:34,24.0232,88.9925,61.21,62,0,5.5
157,Santa Catarina De Tepehuanes,MX,2021-01-20 21:08:34,25.35,-105.7333,62.55,52,100,5.66
158,Rawson,AR,2021-01-20 21:08:34,-43.3002,-65.1023,85.93,25,5,23.58
159,Ashtian,IR,2021-01-20 21:08:34,34.5217,50.0019,29.88,91,3,1.59
160,Broome,US,2021-01-20 21:08:34,42.2506,-75.833,25.0,63,75,16.11
161,Piacabucu,BR,2021-01-20 21:08:35,-10.4056,-36.4344,78.94,75,80,11.99
162,Butaritari,KI,2021-01-20 21:08:35,3.0707,172.7902,79.54,81,58,17.69
163,Burnie,AU,2021-01-20 21:08:35,-41.0667,145.9167,61.0,73,43,7.0
164,Beringovskiy,RU,2021-01-20 21:08:35,63.05,179.3167,13.57,94,100,15.77
165,Torbay,CA,2021-01-20 21:05:27,47.6666,-52.7314,28.0,74,90,28.77
166,Lebu,CL,2021-01-20 21:08:35,-37.6167,-73.65,62.49,76,0,21.07
167,Sangueya,GN,2021-01-20 21:08:35,10.7,-14.3667,71.49,81,48,2.68
168,Abha,SA,2021-01-20 21:08:35,18.2164,42.5053,55.4,76,0,1.7
169,Bardiyah,LY,2021-01-20 21:08:36,31.7561,25.0865,52.57,58,0,4.81
170,Kuching,MY,2021-01-20 21:08:36,1.55,110.3333,77.0,94,40,3.44
171,Chokurdakh,RU,2021-01-20 21:08:36,70.6333,147.9167,-33.84,84,92,7.02
172,Souillac,MU,2021-01-20 21:08:36,-20.5167,57.5167,78.8,94,40,4.61
173,Valparaiso,CL,2021-01-20 21:08:36,-33.0393,-71.6273,64.99,72,20,6.91
174,Balkhash,KZ,2021-01-20 21:08:36,46.844,74.9804,24.24,98,100,3.42
