City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
160,Hambantota,LK,2021-01-23 19:40:25,6.1241,81.1185,75.2,100,0,8.05,clear sky
161,Chernushka,RU,2021-01-23 19:40:25,56.5072,56.0766,6.85,94,100,9.75,snow
162,Saint George,US,2021-01-23 19:40:25,37.1041,-113.5841,50.0,49,1,6.91,clear sky
163,Fortuna,US,2021-01-23 19:40:25,40.5982,-124.1573,51.01,71,1,6.91,clear sky
164,Avarua,CK,2021-01-23 19:40:26,-21.2078,-159.775,84.2,70,20,8.05,few clouds
165,Kongolo,CD,2021-01-23 19:40:26,-5.3833,27.0,72.16,90,100,0.85,overcast clouds
166,Pozhva,RU,2021-01-23 19:40:26,59.0912,56.0847,-4.14,92,100,9.55,overcast clouds
167,Anadyr,RU,2021-01-23 19:40:26,64.75,177.4833,-13.0,77,0,13.42,clear sky
168,San Rafael,AR,2021-01-23 19:40:26,-34.6177,-68.3301,98.22,14,0,13.85,clear sky
169,Mareeba,AU,2021-01-23 19:40:26,-17.0,145.4333,77.0,78,57,10.36,broken clouds
170,Astana,KZ,2021-01-23 19:36:40,51.1801,71.446,-4.0,77,90,4.47,light snow
171,Thyboron,DK,2021-01-23 19:40:27,56.6985,8.2124,37.0,94,79,1.99,broken clouds
172,Tagusao,PH,2021-01-23 19:40:27,9.1924,117.8141,78.08,83,16,8.25,few clouds
173,Naryan-Mar,RU,2021-01-23 19:40:27,67.6713,53.087,-18.99,86,100,10.74,overcast clouds
174,Makakilo City,US,2021-01-23 19:40:27,21.3469,-158.0858,75.2,73,20,9.22,few clouds
175,Brokopondo,SR,2021-01-23 19:40:27,4.75,-55.1667,80.74,79,64,8.32,broken clouds
176,Kichera,RU,2021-01-23 19:40:27,55.9375,110.0997,-2.22,77,100,3.49,overcast clouds
177,Leningradskiy,RU,2021-01-23 19:40:28,69.3833,178.4167,-13.56,83,71,3.71,broken clouds
178,Kilindoni,TZ,2021-01-23 19:40:28,-7.9139,39.6668,81.66,80,100,12.17,overcast clouds
179,Port Blair,IN,2021-01-23 19:36:12,11.6667,92.75,76.28,67,56,6.96,broken clouds
180,Yei,SS,2021-01-23 19:40:28,4.095,30.6779,74.1,51,84,1.74,broken clouds
181,Dunedin,NZ,2021-01-23 19:40:28,-45.8742,170.5036,59.0,67,98,5.01,overcast clouds
182,Qasigiannguit,GL,2021-01-23 19:40:28,68.8193,-51.1922,21.2,38,20,12.66,few clouds
183,Giyon,ET,2021-01-23 19:40:28,8.5333,37.9833,62.4,35,66,13.89,broken clouds
184,Puerto Madryn,AR,2021-01-23 19:39:31,-42.7692,-65.0385,69.73,58,0,23.89,clear sky
185,Halifax,CA,2021-01-23 19:35:53,44.6453,-63.5724,30.2,86,99,2.3,light snow
186,Longyearbyen,SJ,2021-01-23 19:40:29,78.2186,15.6401,8.6,66,0,12.66,clear sky
187,Kruisfontein,ZA,2021-01-23 19:40:29,-34.0033,24.7314,71.01,77,100,7.0,overcast clouds
188,Inhambane,MZ,2021-01-23 19:38:09,-23.865,35.3833,84.0,89,75,13.8,moderate rain
189,Bredasdorp,ZA,2021-01-23 19:39:22,-34.5322,20.0403,64.4,88,100,17.27,overcast clouds
190,Hokitika,NZ,2021-01-23 19:40:29,-42.7167,170.9667,55.27,81,100,2.89,overcast clouds
191,La Palma,US,2021-01-23 19:40:30,33.8464,-118.0467,50.0,81,90,6.02,moderate rain
192,Jinka,ET,2021-01-23 19:40:08,5.65,36.65,72.14,50,76,4.18,broken clouds
193,Vieux Fort,LC,2021-01-23 19:40:30,13.7167,-60.95,84.2,61,40,14.97,scattered clouds
194,Pundaguitan,PH,2021-01-23 19:40:30,6.3711,126.1689,80.92,76,100,6.6,overcast clouds
195,San-Pedro,CI,2021-01-23 19:40:30,4.7485,-6.6363,79.14,84,9,6.82,clear sky
196,Mazyr,BY,2021-01-23 19:40:31,52.0495,29.2456,33.19,94,52,11.07,broken clouds
197,Kloulklubed,PW,2021-01-23 19:40:31,7.0419,134.2556,78.8,89,75,6.91,broken clouds
198,Tromso,NO,2021-01-23 19:40:31,69.6496,18.957,19.4,63,75,4.61,light snow
199,Luganville,VU,2021-01-23 19:40:31,-15.5333,167.1667,80.94,79,100,2.3,moderate rain
200,Hami,CN,2021-01-23 19:40:31,42.8,93.45,24.62,79,100,5.1,snow
201,Kiama,AU,2021-01-23 19:40:31,-34.6833,150.8667,73.0,92,0,5.99,clear sky
202,Trat,TH,2021-01-23 19:40:31,12.5,102.5,72.43,84,68,1.45,broken clouds
203,Mar Del Plata,AR,2021-01-23 19:39:13,-38.0023,-57.5575,82.4,69,0,14.97,clear sky
204,Date,JP,2021-01-23 19:40:32,42.4681,140.8681,23.49,93,65,6.08,broken clouds
205,Haines Junction,CA,2021-01-23 19:40:32,60.7522,-137.5108,1.4,85,100,1.48,overcast clouds
206,Abonnema,NG,2021-01-23 19:40:32,4.7084,6.7931,78.8,69,99,2.3,haze
207,Vila Franca Do Campo,PT,2021-01-23 19:40:32,37.7167,-25.4333,63.0,94,75,8.05,broken clouds
208,High Level,CA,2021-01-23 19:38:37,58.5169,-117.136,-13.0,84,75,9.22,broken clouds
209,Zhezkazgan,KZ,2021-01-23 19:40:32,47.8043,67.7144,-8.81,88,0,1.23,clear sky
210,Konotop,UA,2021-01-23 19:40:32,51.2403,33.2026,36.05,98,100,9.33,overcast clouds
211,Muros,ES,2021-01-23 19:40:32,42.7762,-9.0603,55.99,82,100,8.99,overcast clouds
212,Axim,GH,2021-01-23 19:40:33,4.8699,-2.2405,79.36,82,44,8.23,scattered clouds
213,Airai,TL,2021-01-23 19:40:33,-8.9266,125.4092,61.86,100,93,1.86,light rain
214,Havelock,US,2021-01-23 19:40:33,34.8791,-76.9013,51.01,34,1,14.97,clear sky
215,Carnarvon,AU,2021-01-23 19:40:33,-24.8667,113.6333,75.2,60,75,13.8,broken clouds
216,Ponta Do Sol,PT,2021-01-23 19:39:15,32.6667,-17.1,61.0,78,100,1.01,overcast clouds
217,Wasilla,US,2021-01-23 19:39:35,61.5814,-149.4394,35.6,55,90,12.66,overcast clouds
218,Grand Forks,US,2021-01-23 19:40:33,47.9417,-97.4337,24.8,93,90,12.66,overcast clouds
219,Sistranda,NO,2021-01-23 19:40:33,63.7256,8.834,35.6,100,75,10.36,broken clouds
220,Paredon,MX,2021-01-23 19:40:34,16.0333,-93.8667,85.62,60,100,10.27,overcast clouds
221,Kapaa,US,2021-01-23 19:37:32,22.0752,-159.319,71.6,94,90,19.57,moderate rain
222,Shemursha,RU,2021-01-23 19:40:34,54.8866,47.5189,34.63,99,100,9.73,snow
223,Lorengau,PG,2021-01-23 19:40:34,-2.0226,147.2712,80.29,73,88,3.98,overcast clouds
224,Inta,RU,2021-01-23 19:40:34,66.0317,60.1659,-22.41,75,0,6.67,clear sky
225,Roma,US,2021-01-23 19:36:05,43.2128,-75.4557,19.0,62,20,17.27,few clouds
226,Flinders,AU,2021-01-23 19:40:34,-34.5833,150.8552,73.0,88,0,1.01,clear sky
227,Geraldton,AU,2021-01-23 19:40:34,-28.7667,114.6,71.6,68,75,10.36,broken clouds
228,Hirara,JP,2021-01-23 19:37:18,24.8,125.2833,66.74,79,100,26.98,overcast clouds
229,Hualmay,PE,2021-01-23 19:40:35,-11.0964,-77.6139,76.8,64,56,9.66,broken clouds
230,Moscow,RU,2021-01-23 19:39:18,55.7522,37.6156,35.01,100,90,6.71,fog
231,Port Macquarie,AU,2021-01-23 19:40:35,-31.4333,152.9167,62.01,99,8,9.28,clear sky
232,Vicuna,CL,2021-01-23 19:40:36,-30.0319,-70.7081,84.99,32,0,1.99,clear sky
233,Caborca,MX,2021-01-23 19:40:36,30.5838,-111.101,64.99,65,1,8.01,clear sky
234,Cap Malheureux,MU,2021-01-23 19:39:36,-19.9842,57.6142,79.0,76,0,1.99,clear sky
235,Glendive,US,2021-01-23 19:40:36,47.1053,-104.7125,26.01,74,75,13.8,broken clouds
236,Bandarbeyla,SO,2021-01-23 19:40:36,9.4942,50.8122,74.68,72,95,19.46,overcast clouds
237,Dodoma,TZ,2021-01-23 19:40:36,-6.1722,35.7395,66.69,90,100,6.49,overcast clouds
238,Brigantine,US,2021-01-23 19:40:36,39.4101,-74.3646,34.0,34,1,31.07,clear sky
239,Wajid,SO,2021-01-23 19:40:37,3.8093,43.2471,81.05,31,98,12.39,overcast clouds
240,Yerbogachen,RU,2021-01-23 19:40:37,61.2767,108.0108,-52.01,75,68,1.54,broken clouds
241,Castro,BR,2021-01-23 19:39:03,-24.7911,-50.0119,72.03,83,100,2.91,overcast clouds
242,Copiapo,CL,2021-01-23 19:38:52,-27.3667,-70.3333,73.4,56,20,11.5,few clouds
243,Klaksvik,FO,2021-01-23 19:40:37,62.2266,-6.589,28.4,93,75,3.56,light rain
244,Ambilobe,MG,2021-01-23 19:40:37,-13.2,49.05,74.57,92,11,1.79,few clouds
245,Cayenne,GF,2021-01-23 19:40:37,4.9333,-52.3333,80.6,83,75,11.5,light rain
246,Rezekne,LV,2021-01-23 19:40:37,56.5,27.3167,37.33,95,100,12.21,overcast clouds
247,Kodiak,US,2021-01-23 19:40:38,57.79,-152.4072,39.2,56,1,10.36,clear sky
248,Nanortalik,GL,2021-01-23 19:39:13,60.1432,-45.2371,23.45,88,0,7.29,clear sky
249,Narsaq,GL,2021-01-23 19:40:38,60.9167,-46.05,28.4,31,1,18.41,clear sky
